position,handedness,name,pitcher,p_throws,lineup_spot,away_team,home_team,status,hours_before,time
LF,S,I. Collins,Andrew Alvarez,L,9,KC,WSH,away,0.0,
DH,L,James Wood,Mitch Spence,R,1,KC,WSH,home,0.0,
1B,L,Luis Garcia,Mitch Spence,R,2,KC,WSH,home,0.0,
3B,R,Curtis Mead,Mitch Spence,R,3,KC,WSH,home,0.0,
SS,L,CJ Abrams,Mitch Spence,R,4,KC,WSH,home,0.0,
RF,R,Dylan Crews,Mitch Spence,R,5,KC,WSH,home,0.0,
LF,L,Daylen Lile,Mitch Spence,R,6,KC,WSH,home,0.0,
CF,R,Jacob Young,Mitch Spence,R,7,KC,WSH,home,0.0,
C,S,Keibert Ruiz,Mitch Spence,R,8,KC,WSH,home,0.0,
2B,S,Nasim Nunez,Mitch Spence,R,9,KC,WSH,home,0.0,
RF,L,Carson Benge,Chase Burns,R,1,NYM,CIN,away,1.0,
SS,R,Bo Bichette,Chase Burns,R,2,NYM,CIN,away,1.0,
LF,L,Juan Soto,Chase Burns,R,3,NYM,CIN,away,1.0,
1B,L,Jared Young,Chase Burns,R,4,NYM,CIN,away,1.0,
CF,L,A.J. Ewing,Chase Burns,R,5,NYM,CIN,away,1.0,
2B,R,M. Semien,Chase Burns,R,6,NYM,CIN,away,1.0,
3B,L,Brett Baty,Chase Burns,R,7,NYM,CIN,away,1.0,
DH,L,MJ Melendez,Chase Burns,R,8,NYM,CIN,away,1.0,
C,R,F. Alvarez,Chase Burns,R,9,NYM,CIN,away,1.0,
CF,R,Blake Dunn,Tobias Myers,R,1,NYM,CIN,home,1.0,
LF,L,JJ Bleday,Tobias Myers,R,2,NYM,CIN,home,1.0,
DH,R,Sal Stewart,Tobias Myers,R,3,NYM,CIN,home,1.0,
1B,R,S. Steer,Tobias Myers,R,4,NYM,CIN,home,1.0,
3B,R,E. Suarez,Tobias Myers,R,5,NYM,CIN,home,1.0,
RF,R,Noelvi Marte,Tobias Myers,R,6,NYM,CIN,home,1.0,
SS,R,Matt McLain,Tobias Myers,R,7,NYM,CIN,home,1.0,
C,R,T. Stephenson,Tobias Myers,R,8,NYM,CIN,home,1.0,
2B,S,Edwin Arroyo,Tobias Myers,R,9,NYM,CIN,home,1.0,
RF,R,F. Tatis,Dustin May,R,1,SD,STL,away,1.0,
CF,L,J. Merrill,Dustin May,R,2,SD,STL,away,1.0,
DH,R,M. Machado,Dustin May,R,3,SD,STL,away,1.0,
LF,L,Gavin Sheets,Dustin May,R,4,SD,STL,away,1.0,
SS,R,X. Bogaerts,Dustin May,R,5,SD,STL,away,1.0,
3B,L,Will Wagner,Dustin May,R,6,SD,STL,away,1.0,
1B,R,Ty France,Dustin May,R,7,SD,STL,away,1.0,
2B,L,S. Song,Dustin May,R,8,SD,STL,away,1.0,
C,R,R. Duran,Dustin May,R,9,SD,STL,away,1.0,
2B,L,J. Wetherholt,Lucas Giolito,R,1,SD,STL,home,1.0,
DH,R,Ivan Herrera,Lucas Giolito,R,2,SD,STL,home,1.0,
1B,L,A. Burleson,Lucas Giolito,R,3,SD,STL,home,1.0,
RF,R,J. Walker,Lucas Giolito,R,4,SD,STL,home,1.0,
LF,L,L. Nootbaar,Lucas Giolito,R,5,SD,STL,home,1.0,
SS,R,Masyn Winn,Lucas Giolito,R,6,SD,STL,home,1.0,
C,L,Jimmy Crooks,Lucas Giolito,R,7,SD,STL,home,1.0,
3B,R,Blaze Jordan,Lucas Giolito,R,8,SD,STL,home,1.0,
CF,L,N. Church,Lucas Giolito,R,9,SD,STL,home,1.0,
