"last_name, first_name","player_id","year","pa"
"Odorizzi, Jake",543606,2022,453
"Hutchison, Drew",571800,2022,464
"Mikolas, Miles",571945,2022,805
"Stroman, Marcus",573186,2022,569
"Kikuchi, Yusei",579328,2022,454
"Gausman, Kevin",592332,2022,725
"Gray, Jon",592351,2022,521
"Ray, Robbie",592662,2022,775
"Taillon, Jameson",592791,2022,728
"Pivetta, Nick",601713,2022,773
"Bassitt, Chris",605135,2022,745
"Bundy, Dylan",605164,2022,595
"Clevinger, Mike",605182,2022,485
"Nola, Aaron",605400,2022,807
"Springs, Jeffrey",605488,2022,549
"Thompson, Zach",605507,2022,543
"Woodruff, Brandon",605540,2022,620
"Rodón, Carlos",607074,2022,710
"Freeland, Kyle",607536,2022,766
"Fried, Max",608331,2022,733
"Giolito, Lucas",608337,2022,698
"Irvin, Cole",608344,2022,741
"Wacha, Michael",608379,2022,515
"Voth, Austin",608723,2022,442
"Blackburn, Paul",621112,2022,467
"Berríos, José",621244,2022,753
"Hearn, Taylor",621368,2022,449
"Castillo, Luis",622491,2022,615
"Urías, Julio",628711,2022,689
"Cortes, Nestor",641482,2022,615
"Hudson, Dakota",641712,2022,596
"Kuhl, Chad",641771,2022,617
"Lauer, Eric",641778,2022,661
"Keller, Mitch",656605,2022,687
"Peterson, David",656849,2022,454
"Ryan, Joe",657746,2022,604
"Ohtani, Shohei",660271,2022,660
"Suarez, José",660761,2022,462
"McKenzie, Triston",663474,2022,741
"Sandoval, Patrick",663776,2022,638
"Singer, Brady",663903,2022,621
"Anderson, Ian",666120,2022,493
"Lodolo, Nick",666157,2022,441
"Luzardo, Jesús",666200,2022,400
"Gallen, Zac",668678,2022,714
"Greene, Hunter",668881,2022,531
"Wilson, Bryse",669060,2022,509
"Heasley, Jonathan",669169,2022,465
"Burnes, Corbin",669203,2022,797
"Wells, Tyler",669330,2022,423
"Bieber, Shane",669456,2022,791
"Pallante, Andre",669467,2022,457
"Garcia, Luis",677651,2022,643
"Wainwright, Adam",425794,2023,484
"Verlander, Justin",434378,2023,669
"Hill, Rich",448179,2023,660
"Morton, Charlie",450203,2023,716
"Scherzer, Max",453286,2023,621
"Kershaw, Clayton",477132,2023,523
"Kelly, Merrill",518876,2023,721
"Pérez, Martín",527048,2023,608
"Cole, Gerrit",543037,2023,821
"Eovaldi, Nathan",543135,2023,577
"Heaney, Andrew",571760,2023,641
"Mikolas, Miles",571945,2023,860
"Stroman, Marcus",573186,2023,575
"Kikuchi, Yusei",579328,2023,700
"Gausman, Kevin",592332,2023,763
"Gray, Jon",592351,2023,656
"Taillon, Jameson",592791,2023,655
